date;open ;high;low ;close ;volume ;marcap
02-12-2016;757.54;781.30;757.54;777.94;127605000;12462935160
03-12-2016;778.25;778.25;764.86;771.16;69547296;12355811709
04-12-2016;771.64;773.87;768.16;773.87;60557900;12400766376
05-12-2016;773.39;773.47;751.71;758.70;106363000;12159115875
06-12-2016;758.72;765.62;758.72;764.22;116218000;12249086971
07-12-2016;764.21;771.54;759.75;768.13;96426096;12313376414
08-12-2016;768.08;774.70;765.95;770.81;80111904;12357837893
09-12-2016;769.94;774.53;769.65;772.79;68705296;12390863077
10-12-2016;773.02;777.09;772.91;774.65;53843100;12421967470
11-12-2016;774.75;774.80;765.41;769.73;57313400;12344888048
12-12-2016;770.04;781.92;770.04;780.09;76571000;12512497969
13-12-2016;780.65;788.46;777.96;780.56;81645600;12521776922
14-12-2016;780.01;782.03;776.84;781.48;75979000;12534369129
15-12-2016;780.07;781.43;777.80;778.09;81580096;12484761985
16-12-2016;778.96;785.03;778.96;784.91;83608200;12595490539
17-12-2016;785.17;792.51;784.86;790.83;78989800;12691945028
18-12-2016;791.01;794.74;788.03;790.53;60524400;12688510068
19-12-2016;790.69;793.61;790.32;792.71;74886400;12725090633
20-12-2016;792.25;801.34;791.50;800.88;99629296;12857473134
21-12-2016;800.64;834.28;799.41;834.28;155576000;13395445163
22-12-2016;834.18;875.78;834.15;864.54;200027008;13882988216
23-12-2016;864.89;925.12;864.68;921.98;275564000;14807189352
24-12-2016;922.18;923.48;886.34;898.82;137727008;14436754927
25-12-2016;899.65;899.65;862.42;896.18;143664992;14396194094
26-12-2016;896.91;913.18;896.90;907.61;123771000;14581389977
27-12-2016;908.35;940.05;904.26;933.20;167308000;14994286713
28-12-2016;934.83;975.92;934.83;975.92;236630000;15682769405
29-12-2016;975.13;979.40;954.50;973.50;199320000;15645617392
30-12-2016;972.53;972.53;934.83;961.24;187474000;15450507055
31-12-2016;960.63;963.74;947.24;963.74;99135104;15492554222
01-01-2017;963.66;1003.08;958.70;998.33;147775008;16050407461
02-01-2017;998.62;1031.39;996.70;1021.75;222184992;16429024775
03-01-2017;1021.60;1044.08;1021.60;1043.84;185168000;16786368910
04-01-2017;1044.40;1159.42;1044.40;1154.73;344945984;18571869009
05-01-2017;1156.73;1191.10;910.42;1013.38;510199008;16300254795
06-01-2017;1014.24;1046.81;883.94;902.20;351876000;14513695758
07-01-2017;903.49;908.59;823.56;908.59;279550016;14618030536
08-01-2017;908.17;942.72;887.25;911.20;158715008;14661966429
09-01-2017;913.24;913.69;879.81;902.83;141876992;14528815565
10-01-2017;902.44;914.87;901.06;907.68;115808000;14608685049
11-01-2017;908.11;919.45;762.77;777.76;310928992;12519135996
12-01-2017;775.18;826.25;755.76;804.83;222326000;12956730411
13-01-2017;803.74;829.00;780.00;823.98;168968000;13266554392
14-01-2017;825.14;835.09;812.46;818.41;93063296;13178601992
15-01-2017;818.14;823.31;812.87;821.80;71013600;13234840657
16-01-2017;821.78;834.53;820.27;831.53;82755200;13393372620
17-01-2017;830.95;910.56;830.80;907.94;155095008;14625779851
18-01-2017;909.37;917.50;858.30;886.62;225676992;14284036613
19-01-2017;888.34;904.61;884.34;899.07;105625000;14486616700
20-01-2017;898.17;899.40;887.01;895.03;86728400;14423545371
21-01-2017;895.55;927.37;895.53;921.79;111158000;14856911163
22-01-2017;922.21;937.53;897.56;924.67;116573000;14905439337
23-01-2017;925.50;928.27;916.74;921.01;73588600;14848013909
24-01-2017;910.68;924.15;892.29;892.69;111349000;14393026385
25-01-2017;891.92;903.25;891.69;901.54;120831000;14537488261
26-01-2017;902.40;919.33;902.22;917.59;131958000;14797955301
27-01-2017;918.36;923.22;915.85;919.75;125594000;14834831700
28-01-2017;919.81;923.91;919.81;921.59;68979600;14866260449
29-01-2017;922.07;923.42;919.15;919.50;60851700;14834377926
30-01-2017;920.15;923.05;919.47;920.38;78227296;14850351605
31-01-2017;920.96;972.02;920.96;970.40;164582000;15659186515
01-02-2017;970.94;989.11;970.74;989.02;150110000;15962015276
02-02-2017;990.00;1013.52;983.22;1011.80;145820992;16331615570
03-02-2017;1011.46;1033.87;1008.79;1029.91;201278000;16625849489
04-02-2017;1031.33;1045.90;1015.16;1042.90;155064000;16837411920
05-02-2017;1043.52;1043.63;1022.37;1027.34;114208000;16588240157
06-02-2017;1028.40;1044.64;1028.16;1038.15;111762000;16764422010
07-02-2017;1040.14;1061.93;1040.14;1061.35;146007008;17141080574
08-02-2017;1062.32;1078.97;1037.49;1063.07;201855008;17170799127
09-02-2017;1064.70;1088.99;953.34;994.38;407220000;16063448932
10-02-2017;995.63;998.91;946.69;988.67;190452000;15973053725
11-02-2017;988.90;1009.29;982.83;1004.45;102261000;16229677099
12-02-2017;1003.52;1004.76;996.92;999.18;67530000;16146290349
13-02-2017;998.89;1002.10;976.00;990.64;100607000;16010322103
14-02-2017;991.73;1011.51;986.47;1004.55;137946000;16237219721
15-02-2017;1006.21;1008.84;1001.58;1007.48;89759400;16286329282
16-02-2017;1007.65;1033.37;1007.65;1027.44;122277000;16610905026
17-02-2017;1026.12;1053.17;1025.64;1046.21;136474000;16916338976
18-02-2017;1049.21;1061.10;1046.96;1054.42;99073504;17051064834
19-02-2017;1054.76;1056.81;1043.46;1047.87;77423296;16946913346
20-02-2017;1048.69;1080.49;1041.69;1079.98;109478000;17468244508
21-02-2017;1079.28;1117.25;1076.93;1115.30;186868992;18041455273
22-02-2017;1114.80;1125.39;1100.55;1117.44;136100000;18077985665
23-02-2017;1117.27;1176.62;1116.96;1166.72;189454000;18877442096
24-02-2017;1172.71;1200.39;1131.96;1173.68;330759008;18992415818
25-02-2017;1170.41;1174.85;1124.59;1143.84;139960992;18511906560
26-02-2017;1144.27;1167.47;1130.20;1165.20;116486000;18860247630
27-02-2017;1163.78;1181.98;1163.38;1179.97;131570000;19101427518
28-02-2017;1180.72;1193.25;1171.82;1179.97;184956000;19103684801
01-03-2017;1180.04;1222.50;1179.69;1222.50;229056992;19794459608
02-03-2017;1224.68;1262.13;1215.62;1251.01;368275008;20258543188
03-03-2017;1250.71;1280.31;1250.71;1274.99;315739008;20649259919
04-03-2017;1277.43;1279.40;1230.51;1255.15;183270000;20329978338
05-03-2017;1254.29;1267.29;1238.06;1267.12;134127000;20526235270
